Time	S1	S2	S3	
3.47306	0.00973387	0.0946589	0.279625	
3.49755	0.00976995	0.0946814	0.279466	
3.52221	0.00981078	0.094672	0.279318	
3.54704	0.0098426	0.0946938	0.27914	
3.57205	0.00987554	0.0946788	0.278973	
3.59722	0.00990372	0.0946483	0.278765	
3.62258	0.00988386	0.0946784	0.278575	
3.6481	0.0098967	0.0947015	0.278436	
3.6738	0.00993431	0.0947254	0.278279	
3.69969	0.00996175	0.094749	0.278108	
3.72575	0.00999213	0.0947503	0.277959	
3.75199	0.0100057	0.0947305	0.277791	
3.77841	0.0100059	0.0947211	0.277594	
3.80501	0.0100048	0.0947357	0.277404	
3.83181	0.00997184	0.0947719	0.277267	
3.85879	0.0100051	0.094788	0.277086	
3.88595	0.0100043	0.0948086	0.276966	
3.9133	0.0100149	0.0947906	0.276769	
3.94084	0.010027	0.0948124	0.276589	
3.96858	0.0100081	0.0947938	0.276412	
3.9965	0.0100225	0.0948237	0.276252	
4.02461	0.0100404	0.0948795	0.276112	
4.05293	0.0100851	0.0948874	0.275963	
4.08144	0.0101105	0.0948915	0.275807	
4.11015	0.0101537	0.0948816	0.275622	
4.13905	0.010177	0.0948732	0.275457	
4.16816	0.0101606	0.0948934	0.275267	
4.19746	0.0102162	0.0949401	0.275154	
4.22697	0.0102461	0.0949369	0.274981	
4.2567	0.0102925	0.094971	0.274829	
4.28661	0.0103367	0.0949519	0.274648	
4.31675	0.0103302	0.0949409	0.27443	
4.34709	0.0103384	0.0949857	0.274285	
4.37764	0.0103666	0.0950055	0.27412	
4.40839	0.0103925	0.0950203	0.273962	
4.43936	0.0104394	0.0950412	0.273813	
4.47055	0.0104654	0.0950095	0.273609	
4.50196	0.0104543	0.0950103	0.273434	
4.53358	0.010468	0.0950339	0.273305	
4.56542	0.0104944	0.0950693	0.273143	
4.59749	0.0105356	0.0950828	0.273025	
4.62976	0.0105374	0.0950835	0.272821	
4.66227	0.0105504	0.0950699	0.272666	
4.69501	0.0105427	0.0951138	0.272531	
4.72796	0.0105497	0.0951881	0.272353	
4.76116	0.0105925	0.0952169	0.272229	
4.79458	0.0106055	0.0952436	0.272069	
4.82823	0.0106277	0.0952537	0.271912	
4.86211	0.0106106	0.0952263	0.271719	
4.89622	0.0106222	0.0952562	0.271588	
4.93059	0.0106654	0.0952445	0.271433	
4.96518	0.0107052	0.0952185	0.271277	
5.00001	0.0107025	0.0951867	0.271099	
5.03509	0.0106751	0.0951714	0.270924	
5.0704	0.0106714	0.0952	0.270775	
